Step,Average Reward
30,3.372226266762565
60,4.329679709446043
90,5.012680932854861
120,3.7824790338148904
150,3.4711916091944923
180,3.4317782931500815
210,3.8600635405309345
240,4.022062440045349
270,5.263267581651167
300,4.97886603117091
330,4.491582554891808
360,4.8086922104220555
390,4.581443909800743
420,4.491503888350319
450,3.261472046697591
480,4.846405480040186
510,3.836461618926351
540,5.006979631456445
570,3.2914516297322924
600,4.112958175842039
630,3.52049446770881
660,3.4243886990332544
690,2.620007144385526
720,3.0358668131640227
750,4.965421509102645
780,4.747637117997782
30,3.274818425044803
60,3.7819543458173968
90,2.912915843855227
120,4.613044136140871
150,4.688145308996949
180,4.611069386875552
210,4.102424371751334
240,3.2288869769951987
270,3.7141251210984363
300,3.7269107356883833
330,2.742574988761094
360,4.189544601049536
390,4.831630201424672
420,4.666193396664673
450,4.079461275441779
480,4.964548408466184
510,4.095299823565662
540,4.288364287728563
570,4.727557752958736
600,5.004324487500985
630,4.309971650212586
660,3.3231297272246536
690,2.5434301090680926
720,3.8970748713240715
750,1.9381287793773343
780,3.543275404950036
810,3.2159866940076447
840,4.662630911886578
870,3.8435567432385986
900,3.1760576414367914
